time,pose_x,pose_y,yaw,vel_x,vel_y,acc_x,acc_y,vel_yaw
29303.54,0.5121754120253688,-0.002803803977253187,0.7090395694573417,-2.110258672701242e-10,-2.763456723294554e-10,-0.0,-0.0,1.9104124912220057e-10
29303.57,0.5122314704819658,-0.002730393489342596,0.7089888272176669,-2.1102587552853904e-10,-2.763456831439263e-10,-0.0,-0.0,1.9101356340624767e-10
29303.6,0.5122875289385629,-0.002656983001432061,0.7089380923357768,-2.1102588556178286e-10,-2.7634569628259714e-10,-0.0,-0.0,1.9098587491783432e-10
29303.64,0.5123720542454726,-0.0025591142077856068,0.7088704318108351,-3.181861959608222e-10,-3.6841628019049843e-10,-0.0,-0.0,2.547005841800304e-10
29303.66,0.5124565795523823,-0.002461245414139022,0.7088027869559835,-3.1818618713264184e-10,-3.684162699691593e-10,-0.0,-0.0,2.546415887888612e-10
29303.7,0.5125411048592919,-0.0023633766204926234,0.7087351577723182,-3.18186218606e-10,-3.684163064108051e-10,-0.0,-0.0,2.545826215205575e-10
29303.73,0.5126256301662016,-0.0022655078268460764,0.7086675442609268,-3.1818619366240436e-10,-3.684162775300769e-10,-0.0,-0.0,2.5452360501670786e-10
29303.77,0.5127101554731113,-0.0021676390331995844,0.7085999464228887,-3.181861982539674e-10,-3.6841628284579033e-10,-0.0,-0.0,2.544646080789441e-10
29303.8,0.5127946807800209,-0.0020697702395530925,0.7085323642592756,-3.1818620204080883e-10,-3.684162872309208e-10,-0.0,-0.0,2.544056064624411e-10
29303.84,0.5128974208763897,-0.001980642314665733,0.7084707631872974,-3.8675377144907793e-10,-3.3551225188540027e-10,-0.0,-0.0,2.3189044739984693e-10
29303.86,0.5130001609727585,-0.0018915143897783914,0.7084091813114344,-3.8675374868896566e-10,-3.355122321407385e-10,-0.0,-0.0,2.3181817209739781e-10
29303.91,0.5131029010691273,-0.0018023864648910874,0.708347618627641,-3.8675378224251623e-10,-3.355122612485927e-10,-0.0,-0.0,2.31745945776043e-10
29303.93,0.5132056411654962,-0.0017132585400038013,0.7082860751318669,-3.86753758473767e-10,-3.3551224062856706e-10,-0.0,-0.0,2.3167370035118e-10
29303.97,0.5133083812618648,-0.0016241306151164416,0.7082245508200572,-3.8675377410441155e-10,-3.355122541892886e-10,-0.0,-0.0,2.31601493794598e-10
29304.53,0.5134111213582336,-0.0015350026902291552,0.7081630456881521,-3.8675377597957975e-10,-3.355122558153748e-10,-0.0,-0.0,2.3152929427881624e-10
29304.62,0.5135165502609236,-0.0014476407625339037,0.7081027686830366,-3.9687552289198294e-10,-3.288643801678542e-10,-0.0,-0.0,2.2690616437467472e-10
29304.75,0.5136219791636136,-0.00136027883483867,0.7080425112081745,-3.9687545544171295e-10,-3.288643242758831e-10,-0.0,-0.0,2.2683260632948576e-10
29304.11,0.5137274080663035,-0.001272916907143456,0.7079822732586846,-3.968754850357701e-10,-3.288643487991298e-10,-0.0,-0.0,2.2675912213292968e-10
29304.14,0.5138328369689935,-0.0011855549794482223,0.707922054829681,-3.968754812972611e-10,-3.2886434570065823e-10,-0.0,-0.0,2.2668563727760515e-10
29304.17,0.5139382658716835,-0.001098193051753064,0.7078618559162743,-3.9687548975934617e-10,-3.288643527126882e-10,-0.0,-0.0,2.2661217779649654e-10
29304.21,0.5140436947743734,-0.0010108311240577745,0.7078016765135711,-3.96875497668321e-10,-3.2886435926682404e-10,-0.0,-0.0,2.2653873641703522e-10
29304.24,0.5140142686919746,-0.0009645241557250465,0.7077698957801982,1.1077124654122933e-10,-1.7431748257385392e-10,-0.0,-0.0,1.1963507081912692e-10
29304.27,0.513984842609576,-0.0009182171873922805,0.7077381099644269,1.107712425385714e-10,-1.7431747627578834e-10,-0.0,-0.0,1.19654198625384e-10
29304.31,0.5139554165271772,-0.0008719102190594967,0.7077063190657139,1.1077124781645438e-10,-1.7431748458084862e-10,-0.0,-0.0,1.1967333850024315e-10
29304.34,0.5139259904447786,-0.0008256032507267686,0.7076745230835163,1.1077124322972007e-10,-1.743174773632864e-10,-0.0,-0.0,1.1969246976284268e-10
29304.37,0.5138965643623798,-0.0007792962823940028,0.7076427220172914,1.1077124489189722e-10,-1.743174799784905e-10,-0.0,-0.0,1.1971160981906407e-10
29304.41,0.5138671382799812,-0.0007329893140612191,0.7076109158664966,1.1077124834911174e-10,-1.7431748541973327e-10,-0.0,-0.0,1.1973075385941837e-10
29304.44,0.5137804367265869,-0.0007379371997165756,0.7076144033080612,3.2637844127976384e-10,1.86257701806295e-11,-0.0,-0.0,-1.3128089375122108e-11
29304.47,0.5136937351731926,-0.0007428850853718764,0.7076178919095064,3.2637844051933107e-10,1.8625770137023737e-11,-0.0,-0.0,-1.3132455586915781e-11
29304.51,0.5136070336197982,-0.0007478329710272884,0.70762138167141,3.263784457311742e-10,1.8625770434847774e-11,-0.0,-0.0,-1.3136824214390065e-11
29304.54,0.513520332066404,-0.0007527808566825894,0.7076248725943499,3.2637843452567186e-10,1.862576979500175e-11,-0.0,-0.0,-1.3141194356781712e-11
29304.57,0.5134336305130096,-0.0007577287423380014,0.7076283646789051,3.2637843355839125e-10,1.8625769740171198e-11,-0.0,-0.0,-1.3145567090264783e-11
29304.61,0.5133469289596153,-0.0007626766279933957,0.7076318579256545,3.263784354452878e-10,1.8625769847809555e-11,-0.0,-0.0,-1.3149942118279834e-11
29304.64,0.5132673487063886,-0.0007610804083054818,0.7076308406030195,2.995710848014503e-10,-6.008792936701978e-12,-0.0,-0.0,3.829598839026568e-12
29304.67,0.5131877684531616,-0.0007594841886176234,0.7076298229633949,2.995710753008598e-10,-6.0087927459135265e-12,-0.0,-0.0,3.830791989704093e-12
29304.71,0.5131081881999349,-0.0007578879689297271,0.7076288050066325,2.9957110292780414e-10,-6.008793300214031e-12,-0.0,-0.0,3.83198617360301e-12
29304.74,0.5130286079467081,-0.0007562917492418687,0.7076277867325842,2.995710782798566e-10,-6.008792805682971e-12,-0.0,-0.0,3.833180245927212e-12
29304.77,0.5129490276934813,-0.0007546955295539548,0.7076267681411014,2.995710846319454e-10,-6.008792933293669e-12,-0.0,-0.0,3.834375274445891e-12
29304.81,0.5128694474402544,-0.000753099309866152,0.7076257492320359,2.995710844940176e-10,-6.008792930109183e-12,-0.0,-0.0,3.835570777445643e-12
29304.85,0.5127723077736339,-0.0007502893314367512,0.7076239114708843,3.656715783947162e-10,-1.0577854374859271e-11,-0.0,-0.0,6.918049488887385e-12
29304.87,0.5126751681070134,-0.0007474793530074816,0.7076220730084918,3.656715535237915e-10,-1.0577853654919249e-11,-0.0,-0.0,6.920688762535467e-12
