real_x,real_y,mea_x,mea_y,mea_z,raw_x,raw_y,raw_z
1.5,0.6,1.494860752,0.5518341778,-0.2094566028,-0.9532478696,-0.1018077792,2.000766472
1.35,0.75,1.338800545,0.7050075376,-0.1901715772,-0.7978528711,0.0556008599,1.994934965
1.5,0.75,1.491191279,0.7050533808,-0.1854114592,-0.9501708936,0.05289763974,1.988829396
1.05,0.6,1.030399158,0.555817363,-0.1969219011,-0.4857716136,-0.09066685478,2.000354441
1.2,0.6,1.18488139,0.5554137661,-0.1975529562,-0.6402184879,-0.09402497637,1.998765593
1.05,0.75,1.031050725,0.708458901,-0.1723744935,-0.486329791,0.06355355124,1.989663859
1.2,0.75,1.187864859,0.7091522643,-0.1822864137,-0.6432242184,0.06040757984,1.997381739
0.75,0.6,0.7208727122,0.5574588293,-0.1895280865,-0.1758036057,-0.08292779526,1.998265935
0.9,0.6,0.8743567927,0.5560290722,-0.188500667,-0.3292210491,-0.08693830443,1.994334811
0.75,0.75,0.7248006634,0.710595329,-0.172200141,-0.1795771095,0.07108391183,1.99500476
0.9,0.75,0.8811571078,0.7115235631,-0.1926551522,-0.3362206295,0.06739924901,2.012623399
0.45,0.6,0.413010127,0.5581602864,-0.1738362146,0.1323539386,-0.07548623005,1.98812881
0.6,0.6,0.5667824908,0.5578249557,-0.18387943,-0.02149527311,-0.07968043754,1.995989474
0.45,0.75,0.4169401413,0.7103510473,-0.1574843882,0.1286278789,0.07749369468,1.986171432
0.6,0.75,0.5706195263,0.7105719239,-0.1627840903,-0.0250722367,0.07430275239,1.989364862
0.15,0.6,0.09965776989,0.5595346297,-0.1863825832,0.4448797021,-0.06875191149,2.003806858
0.3,0.6,0.2579033231,0.5575273341,-0.1750497774,0.2868302677,-0.07263232326,1.989972547
0.15,0.75,0.1038013067,0.7135554706,-0.1728846334,0.4407857227,0.08578127736,2.004393739
0.3,0.75,0.2608608737,0.7119825393,-0.1694432036,0.283817268,0.08163363916,1.998473111
1.35,0.9,1.341375037,0.8610505758,-0.1769907536,-0.8003102857,0.2119538069,1.995015028
